Release, Total, TP, FN, TN, FOR, noise, Recall, Total Releases,Relative,Project
2,0.0,0.0,0.0,0.0,/0,/0,/0,22,0.047619047619047616,BOOKKEEPER
3,296.0,76.0,59.0,161.0,0.2681818181818182,0.19932432432432431,0.562962962962963,22,0.09523809523809523,BOOKKEEPER
4,735.0,140.0,131.0,464.0,0.22016806722689075,0.1782312925170068,0.5166051660516605,22,0.14285714285714285,BOOKKEEPER
5,735.0,187.0,84.0,464.0,0.15328467153284672,0.11428571428571428,0.6900369003690037,22,0.19047619047619047,BOOKKEEPER
6,735.0,202.0,69.0,464.0,0.1294559099437148,0.09387755102040816,0.7453874538745388,22,0.2380952380952381,BOOKKEEPER
7,735.0,246.0,25.0,464.0,0.05112474437627812,0.034013605442176874,0.9077490774907749,22,0.2857142857142857,BOOKKEEPER
8,735.0,258.0,13.0,464.0,0.027253668763102725,0.017687074829931974,0.9520295202952029,22,0.3333333333333333,BOOKKEEPER
9,735.0,258.0,13.0,464.0,0.027253668763102725,0.017687074829931974,0.9520295202952029,22,0.3809523809523809,BOOKKEEPER
10,735.0,259.0,12.0,464.0,0.025210084033613446,0.0163265306122449,0.955719557195572,22,0.42857142857142855,BOOKKEEPER
11,735.0,261.0,10.0,464.0,0.02109704641350211,0.013605442176870748,0.9630996309963099,22,0.4761904761904762,BOOKKEEPER
12,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.5238095238095238,BOOKKEEPER
13,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.5714285714285714,BOOKKEEPER
14,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.6190476190476191,BOOKKEEPER
15,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.6666666666666666,BOOKKEEPER
16,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.7142857142857143,BOOKKEEPER
17,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.7619047619047619,BOOKKEEPER
18,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.8095238095238095,BOOKKEEPER
19,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.8571428571428571,BOOKKEEPER
20,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.9047619047619048,BOOKKEEPER
21,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,0.9523809523809524,BOOKKEEPER
22,735.0,271.0,0.0,464.0,0.0,0.0,1.0,22,1.0,BOOKKEEPER
2,0.0,0.0,0.0,0.0,/0,/0,/0,118,0.008547008547008548,CONNECTORS
3,789.0,48.0,100.0,641.0,0.1349527665317139,0.1267427122940431,0.32432432432432434,118,0.017094017094017096,CONNECTORS
4,1594.0,48.0,227.0,1319.0,0.14683053040103494,0.1424090338770389,0.17454545454545456,118,0.02564102564102564,CONNECTORS
5,2399.0,48.0,354.0,1997.0,0.15057422373458104,0.14756148395164653,0.11940298507462686,118,0.034188034188034185,CONNECTORS
6,3204.0,48.0,481.0,2675.0,0.15240811153358683,0.15012484394506867,0.09073724007561437,118,0.042735042735042736,CONNECTORS
7,4009.0,48.0,608.0,3353.0,0.1534965917697551,0.15165876777251186,0.07317073170731707,118,0.05128205128205128,CONNECTORS
8,4815.0,48.0,736.0,4031.0,0.15439479756660374,0.15285565939771548,0.061224489795918366,118,0.059829059829059825,CONNECTORS
9,4815.0,48.0,736.0,4031.0,0.15439479756660374,0.15285565939771548,0.061224489795918366,118,0.06837606837606837,CONNECTORS
10,4815.0,48.0,736.0,4031.0,0.15439479756660374,0.15285565939771548,0.061224489795918366,118,0.07692307692307693,CONNECTORS
11,4815.0,48.0,736.0,4031.0,0.15439479756660374,0.15285565939771548,0.061224489795918366,118,0.08547008547008547,CONNECTORS
12,4815.0,53.0,731.0,4031.0,0.15350692986140277,0.15181723779854622,0.06760204081632654,118,0.09401709401709403,CONNECTORS
13,4815.0,53.0,731.0,4031.0,0.15350692986140277,0.15181723779854622,0.06760204081632654,118,0.10256410256410256,CONNECTORS
14,4815.0,233.0,551.0,4031.0,0.12025316455696203,0.11443406022845275,0.2971938775510204,118,0.1111111111111111,CONNECTORS
15,4815.0,233.0,551.0,4031.0,0.12025316455696203,0.11443406022845275,0.2971938775510204,118,0.11965811965811965,CONNECTORS
16,4815.0,238.0,546.0,4031.0,0.11929211273760106,0.1133956386292835,0.30357142857142855,118,0.1282051282051282,CONNECTORS
17,4815.0,238.0,546.0,4031.0,0.11929211273760106,0.1133956386292835,0.30357142857142855,118,0.13675213675213674,CONNECTORS
18,4815.0,254.0,530.0,4031.0,0.11620258715194036,0.11007268951194185,0.3239795918367347,118,0.1452991452991453,CONNECTORS
19,4815.0,254.0,530.0,4031.0,0.11620258715194036,0.11007268951194185,0.3239795918367347,118,0.15384615384615385,CONNECTORS
20,4815.0,254.0,530.0,4031.0,0.11620258715194036,0.11007268951194185,0.3239795918367347,118,0.1623931623931624,CONNECTORS
21,4815.0,265.0,519.0,4031.0,0.11406593406593407,0.10778816199376948,0.3380102040816326,118,0.17094017094017094,CONNECTORS
22,4815.0,265.0,519.0,4031.0,0.11406593406593407,0.10778816199376948,0.3380102040816326,118,0.1794871794871795,CONNECTORS
23,4815.0,265.0,519.0,4031.0,0.11406593406593407,0.10778816199376948,0.3380102040816326,118,0.18803418803418806,CONNECTORS
24,4815.0,265.0,519.0,4031.0,0.11406593406593407,0.10778816199376948,0.3380102040816326,118,0.19658119658119655,CONNECTORS
25,4815.0,271.0,513.0,4031.0,0.11289612676056338,0.10654205607476636,0.34566326530612246,118,0.20512820512820512,CONNECTORS
26,4815.0,271.0,513.0,4031.0,0.11289612676056338,0.10654205607476636,0.34566326530612246,118,0.21367521367521367,CONNECTORS
27,4815.0,307.0,477.0,4031.0,0.10581188997338066,0.09906542056074766,0.39158163265306123,118,0.2222222222222222,CONNECTORS
28,4815.0,307.0,477.0,4031.0,0.10581188997338066,0.09906542056074766,0.39158163265306123,118,0.2307692307692308,CONNECTORS
29,4815.0,348.0,436.0,4031.0,0.09760465636892769,0.0905503634475597,0.44387755102040816,118,0.2393162393162393,CONNECTORS
30,4815.0,348.0,436.0,4031.0,0.09760465636892769,0.0905503634475597,0.44387755102040816,118,0.2478632478632479,CONNECTORS
31,4815.0,348.0,436.0,4031.0,0.09760465636892769,0.0905503634475597,0.44387755102040816,118,0.2564102564102564,CONNECTORS
32,4815.0,348.0,436.0,4031.0,0.09760465636892769,0.0905503634475597,0.44387755102040816,118,0.26495726495726496,CONNECTORS
33,4815.0,348.0,436.0,4031.0,0.09760465636892769,0.0905503634475597,0.44387755102040816,118,0.27350427350427353,CONNECTORS
34,4815.0,533.0,251.0,4031.0,0.05861746847267632,0.05212876427829699,0.6798469387755102,118,0.28205128205128205,CONNECTORS
35,4815.0,533.0,251.0,4031.0,0.05861746847267632,0.05212876427829699,0.6798469387755102,118,0.2905982905982906,CONNECTORS
36,4815.0,538.0,246.0,4031.0,0.05751695113397241,0.05109034267912772,0.6862244897959183,118,0.29914529914529914,CONNECTORS
